State,County,ZIP,Target Home Value Range,Estimated Population,Estimated Lead Volume,Priority,Reason,Suggested Lead Pull Criteria
FL,Saint Augustine Zip Market,32080,$318k-$550k,379.0,379.0,Medium,"Within the configured 45-minute drive market for Jacksonville; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,West Palm Beach Zip Market,33417,$130k-$147k,378.0,378.0,Medium,"Within the configured 45-minute drive market for West Palm Beach; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Pompano Beach Zip Market,33062,$305k-$550k,641.0,641.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Fernandina Beach Zip Market,32034,$380k-$550k,499.0,499.0,Medium,"Within the configured 45-minute drive market for Jacksonville; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Loxahatchee Zip Market,33470,$425k-$550k,318.0,318.0,Medium,"Within the configured 45-minute drive market for West Palm Beach; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Windermere Zip Market,34786,$642k-$550k,241.0,241.0,Medium,"Within the configured 45-minute drive market for Orlando; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Miami Zip Market,33169,$130k-$266k,166.0,166.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Palm Beach Gardens Zip Market,33410,$398k-$550k,199.0,199.0,Medium,"Within the configured 45-minute drive market for West Palm Beach; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Saint Petersburg Zip Market,33715,$263k-$550k,250.0,250.0,Medium,"Within the configured 45-minute drive market for Tampa; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Orlando Zip Market,32811,$130k-$226k,150.0,150.0,Medium,"Within the configured 45-minute drive market for Orlando; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Miami Zip Market,33166,$304k-$550k,151.0,151.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Orlando Zip Market,32821,$133k-$282k,204.0,204.0,Medium,"Within the configured 45-minute drive market for Orlando; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Hollywood Zip Market,33029,$427k-$550k,152.0,152.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Hialeah Zip Market,33018,$297k-$550k,146.0,146.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Fort Lauderdale Zip Market,33334,$317k-$550k,216.0,216.0,Medium,"Within the configured 45-minute drive market for Fort Lauderdale; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Saint Petersburg Zip Market,33706,$333k-$550k,426.0,426.0,Medium,"Within the configured 45-minute drive market for Tampa; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Dania Zip Market,33004,$184k-$389k,137.0,137.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Fort Lauderdale Zip Market,33326,$343k-$550k,203.0,203.0,Medium,"Within the configured 45-minute drive market for Fort Lauderdale; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Hollywood Zip Market,33019,$331k-$550k,648.0,648.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Saint Petersburg Zip Market,33708,$338k-$550k,375.0,375.0,Medium,"Within the configured 45-minute drive market for Tampa; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Miami Zip Market,33130,$334k-$550k,536.0,536.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Lake Worth Zip Market,33461,$130k-$135k,213.0,213.0,Medium,"Within the configured 45-minute drive market for West Palm Beach; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Bradenton Zip Market,34207,$130k-$160k,147.0,147.0,Medium,"Within the configured 45-minute drive market for Sarasota; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Miami Zip Market,33134,$610k-$550k,181.0,181.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Jacksonville Beach Zip Market,32250,$402k-$550k,202.0,202.0,Medium,"Within the configured 45-minute drive market for Jacksonville; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,West Palm Beach Zip Market,33412,$575k-$550k,189.0,189.0,Medium,"Within the configured 45-minute drive market for West Palm Beach; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Orlando Zip Market,32801,$212k-$447k,136.0,136.0,Medium,"Within the configured 45-minute drive market for Orlando; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Miami Zip Market,33133,"$1,124k-$550k",298.0,298.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Boca Raton Zip Market,33487,$463k-$550k,283.0,283.0,Medium,"Within the configured 45-minute drive market for West Palm Beach; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Longboat Key Zip Market,34228,$586k-$550k,315.0,315.0,Medium,"Within the configured 45-minute drive market for Sarasota; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Miami Zip Market,33131,$432k-$550k,862.0,862.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Miami Beach Zip Market,33140,$418k-$550k,533.0,533.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Key Largo Zip Market,33037,$642k-$550k,272.0,272.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Jupiter Zip Market,33469,$448k-$550k,161.0,161.0,Medium,"Within the configured 45-minute drive market for West Palm Beach; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Key West Zip Market,33040,$656k-$550k,318.0,318.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Sarasota Zip Market,34242,$593k-$550k,348.0,348.0,Medium,"Within the configured 45-minute drive market for Sarasota; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Palm Beach Zip Market,33480,$948k-$550k,347.0,347.0,Medium,"Within the configured 45-minute drive market for West Palm Beach; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Saint Petersburg Zip Market,33701,$669k-$550k,227.0,227.0,Medium,"Within the configured 45-minute drive market for Tampa; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Delray Beach Zip Market,33444,$416k-$550k,154.0,154.0,Medium,"Within the configured 45-minute drive market for West Palm Beach; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Fort Lauderdale Zip Market,33316,$496k-$550k,314.0,314.0,Medium,"Within the configured 45-minute drive market for Fort Lauderdale; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Key Biscayne Zip Market,33149,"$1,511k-$550k",151.0,151.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Miami Zip Market,33138,$427k-$550k,245.0,245.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Sanibel Zip Market,33957,$514k-$550k,361.0,361.0,Medium,"Within the configured 45-minute drive market for Fort Myers; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Indian Rocks Beach Zip Market,33785,$381k-$550k,169.0,169.0,Medium,"Within the configured 45-minute drive market for Tampa; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Miami Zip Market,33129,$689k-$550k,193.0,193.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Homestead Zip Market,33030,$407k-$550k,153.0,153.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Captiva Zip Market,33924,$853k-$550k,144.0,144.0,Medium,"Within the configured 45-minute drive market for Fort Myers; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Lagrange Zip Market,30241,$182k-$395k,95.0,95.0,High,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Bowdon Zip Market,30108,$198k-$430k,43.0,43.0,High,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Forsyth Zip Market,31029,$312k-$450k,90.0,90.0,High,"Within the configured 45-minute drive market for Macon; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Social Circle Zip Market,30025,$271k-$450k,80.0,80.0,High,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Adairsville Zip Market,30103,$204k-$441k,74.0,74.0,High,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Thomaston Zip Market,30286,$150k-$325k,116.0,116.0,Medium,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Cedartown Zip Market,30125,$165k-$357k,71.0,71.0,Medium,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Atlanta Zip Market,30360,$291k-$450k,30.0,30.0,Medium,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Marietta Zip Market,30068,$434k-$450k,112.0,112.0,Medium,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Alpharetta Zip Market,30009,$528k-$450k,188.0,188.0,Medium,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Macon Zip Market,31206,$100k-$130k,143.0,143.0,Medium,"Within the configured 45-minute drive market for Macon; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Monticello Zip Market,31064,$256k-$450k,78.0,78.0,Medium,"Within the configured 45-minute drive market for Macon; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Savannah Zip Market,31415,$127k-$275k,42.0,42.0,Medium,"Within the configured 45-minute drive market for Savannah; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Macon Zip Market,31217,$100k-$159k,71.0,71.0,Medium,"Within the configured 45-minute drive market for Macon; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Augusta Zip Market,30901,$100k-$213k,48.0,48.0,Medium,"Within the configured 45-minute drive market for Augusta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Darien Zip Market,31305,$219k-$450k,34.0,34.0,Medium,"Within the configured 45-minute drive market for Savannah; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Franklin Zip Market,30217,$205k-$443k,25.0,25.0,Medium,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Atlanta Zip Market,30306,$359k-$450k,119.0,119.0,Medium,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Savannah Zip Market,31411,$484k-$450k,68.0,68.0,Medium,"Within the configured 45-minute drive market for Savannah; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Grantville Zip Market,30220,$207k-$448k,35.0,35.0,Medium,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Atlanta Zip Market,30338,$390k-$450k,91.0,91.0,Medium,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Atlanta Zip Market,30340,$236k-$450k,56.0,56.0,Medium,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Atlanta Zip Market,30363,$192k-$417k,95.0,95.0,Medium,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Barnesville Zip Market,30204,$242k-$450k,42.0,42.0,Medium,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Cordele Zip Market,31015,$153k-$332k,90.0,90.0,Medium,"Within the configured 45-minute drive market for Macon; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Savannah Zip Market,31401,$432k-$450k,255.0,255.0,Medium,"Within the configured 45-minute drive market for Savannah; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Lizella Zip Market,31052,$211k-$450k,37.0,37.0,Medium,"Within the configured 45-minute drive market for Macon; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Kingston Zip Market,30145,$261k-$450k,41.0,41.0,Medium,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Atlanta Zip Market,30345,$399k-$450k,93.0,93.0,Medium,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Palmetto Zip Market,30268,$418k-$450k,97.0,97.0,Medium,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Waleska Zip Market,30183,$343k-$450k,110.0,110.0,Medium,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Clarkston Zip Market,30021,$204k-$443k,29.0,29.0,Medium,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Waynesboro Zip Market,30830,$170k-$369k,34.0,34.0,Medium,"Within the configured 45-minute drive market for Augusta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Mansfield Zip Market,30055,$250k-$450k,62.0,62.0,Medium,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Hawkinsville Zip Market,31036,$150k-$325k,47.0,47.0,Medium,"Within the configured 45-minute drive market for Macon; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Milner Zip Market,30257,$229k-$450k,27.0,27.0,Medium,"Within the configured 45-minute drive market for Atlanta; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Columbus Zip Market,31903,$100k-$104k,67.0,67.0,Medium,"Within the configured 45-minute drive market for Columbus; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
GA,Tybee Island Zip Market,31328,$411k-$450k,127.0,127.0,Medium,"Within the configured 45-minute drive market for Savannah; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
